job_title,salary
Machine Learning Engineer,204205.13 to 208230.77
Machine Learning Engineer,252512.82 to 256538.46
Machine Learning Engineer,147846.15 to 151871.79
Machine Learning Engineer,103564.1 to 107589.74
Machine Learning Engineer,196153.85 to 200179.49
Data Engineer,252512.82 to 256538.46
Data Engineer,180051.28 to 184076.92
Data Analyst,67333.33 to 71358.97
Data Analyst,176025.64 to 180051.28
Analytics Engineer,147846.15 to 151871.79
Solutions Engineer,180051.28 to 184076.92
Solutions Engineer,99538.46 to 103564.1
Data Lead,99538.46 to 103564.1
Data Lead,51230.77 to 55256.41
Data Scientist,79410.26 to 83435.9
Data Scientist,83435.9 to 87461.54
Product Manager,365230.77 to 369256.41
Product Manager,316923.08 to 320948.72
Data Manager,143820.51 to 147846.15
Data Manager,115641.03 to 119666.67
Software Engineer,252512.82 to 256538.46
Business Intelligence Analyst,99538.46 to 103564.1
Business Intelligence Analyst,79410.26 to 83435.9
Manager,127717.95 to 131743.59
Manager,320948.72 to 324974.36
Manager,192128.21 to 196153.85
Associate,59282.05 to 63307.69
Software Engineer,365230.77 to 369256.41
Engineer,437692.31 to 441717.95
Manager,95512.82 to 99538.46
Manager,260564.1 to 264589.74
Engineer,224333.33 to 228358.97
Engineer,147846.15 to 151871.79
Software Engineer,401461.54 to 405487.18
Software Engineer,316923.08 to 320948.72
Software Engineer,103564.1 to 107589.74
Research Associate,95512.82 to 99538.46
Research Associate,59282.05 to 63307.69
Software Engineer,256538.46 to 260564.1
Software Engineer,119666.67 to 123692.31
Engineer,51230.77 to 55256.41
Software Developer,188102.56 to 192128.21
Software Developer,139794.87 to 143820.51
Manager,204205.13 to 208230.77
AI Engineer,228358.97 to 232384.62
AI Engineer,55256.41 to 59282.05
Software Engineer,163948.72 to 167974.36
Analytics Engineer,172000.0 to 176025.64
Analytics Engineer,123692.31 to 127717.95
Data Analyst,107589.74 to 111615.38
Data Analyst,75384.62 to 79410.26
Data Analyst,55256.41 to 59282.05
Engineer,63307.69 to 67333.33
Engineer,184076.92 to 188102.56
Engineer,123692.31 to 127717.95
Software Engineer,236410.26 to 240435.9
Machine Learning Engineer,292769.23 to 296794.87
Machine Learning Engineer,272641.03 to 276666.67
Data Architect,167974.36 to 172000.0
Data Architect,47205.13 to 51230.77
Associate,176025.64 to 180051.28
Data Management Specialist,184076.92 to 188102.56
Data Management Specialist,115641.03 to 119666.67
Business Intelligence Developer,83435.9 to 87461.54
Research Engineer,172000.0 to 176025.64
Research Engineer,111615.38 to 115641.03
Site Reliability Engineer,208230.77 to 212256.41
