job_xp,salary
Engineer (EX),367947.24 to 379557.63
Director of Machine Learning (EX),367947.24 to 379557.63
Data Architect (SE),367947.24 to 379557.63
Backend Engineer (SE),367947.24 to 379557.63
Head of Data (EX),367947.24 to 379557.63
Data Scientist (EX),367947.24 to 379557.63
Data Scientist (MI),367947.24 to 379557.63
Data Science Tech Lead (SE),367947.24 to 379557.63
Machine Learning Researcher (MI),367947.24 to 379557.63
Machine Learning Software Engineer (SE),367947.24 to 379557.63
Product Manager (MI),367947.24 to 379557.63
Data Engineer (EX),367947.24 to 379557.63
Research Scientist (SE),367947.24 to 379557.63
Head of Machine Learning (EX),367947.24 to 379557.63
Machine Learning Architect (SE),367947.24 to 379557.63
Software Engineer (EX),367947.24 to 379557.63
AI Engineer (SE),367947.24 to 379557.63
Technical Lead (SE),367947.24 to 379557.63
Engineer (MI),367947.24 to 379557.63
Research Engineer (SE),367947.24 to 379557.63
Full Stack Engineer (MI),367947.24 to 379557.63
Software Engineer (MI),367947.24 to 379557.63
Data Analyst (EN),367947.24 to 379557.63
Site Reliability Engineer (SE),367947.24 to 379557.63
Engineer (EN),367947.24 to 379557.63
Research Engineer (MI),367947.24 to 379557.63
AI Engineer (MI),367947.24 to 379557.63
Analytics Engineer (MI),367947.24 to 379557.63
Data Analyst (MI),367947.24 to 379557.63
Research Scientist (SE),356692.0 to 367947.24
Head of Data (EX),356692.0 to 367947.24
Technical Lead (SE),356692.0 to 367947.24
Applied Scientist (SE),356692.0 to 367947.24
Engineer (SE),356692.0 to 367947.24
Data Scientist (SE),356692.0 to 367947.24
Software Engineer (SE),356692.0 to 367947.24
Product Manager (SE),356692.0 to 367947.24
Machine Learning Engineer (SE),356692.0 to 367947.24
Manager (SE),356692.0 to 367947.24
Engineering Manager (SE),356692.0 to 367947.24
Engineer (EX),356692.0 to 367947.24
Solution Architect (SE),356692.0 to 367947.24
Data Operations Manager (MI),356692.0 to 367947.24
Manager (MI),356692.0 to 367947.24
Data Analyst (EN),356692.0 to 367947.24
Machine Learning Engineer (MI),356692.0 to 367947.24
Data Governance Engineer (SE),356692.0 to 367947.24
Research Engineer (SE),356692.0 to 367947.24
Data Architect (SE),356692.0 to 367947.24
Data Engineer (EX),356692.0 to 367947.24
Data Governance (EX),356692.0 to 367947.24
Engineering Manager (MI),356692.0 to 367947.24
Machine Learning Researcher (SE),356692.0 to 367947.24
Research Engineer (MI),356692.0 to 367947.24
Engineer (MI),356692.0 to 367947.24
Systems Engineer (SE),356692.0 to 367947.24
Software Engineer (MI),356692.0 to 367947.24
AI Engineer (SE),356692.0 to 367947.24
Research Scientist (MI),356692.0 to 367947.24
Executive (EX),356692.0 to 367947.24
Research Scientist (EN),356692.0 to 367947.24
Data Engineer (SE),356692.0 to 367947.24
Architect (SE),345781.05 to 356692.0
Engineer (SE),345781.05 to 356692.0
Solutions Architect (SE),345781.05 to 356692.0
Software Engineer (SE),345781.05 to 356692.0
Manager (SE),345781.05 to 356692.0
Architect (EN),345781.05 to 356692.0
AI Architect (SE),345781.05 to 356692.0
Solution Architect (SE),345781.05 to 356692.0
Data Scientist (SE),345781.05 to 356692.0
Applied Scientist (SE),345781.05 to 356692.0
Research Scientist (EN),345781.05 to 356692.0
Machine Learning Engineer (EN),345781.05 to 356692.0
Data Engineer (SE),345781.05 to 356692.0
Research Engineer (SE),345781.05 to 356692.0
Machine Learning Engineer (MI),345781.05 to 356692.0
Machine Learning Engineer (SE),345781.05 to 356692.0
Site Reliability Engineer (SE),345781.05 to 356692.0
Software Development Engineer (MI),345781.05 to 356692.0
Machine Learning Scientist (SE),345781.05 to 356692.0
Research Engineer (MI),345781.05 to 356692.0
Site Reliability Engineer (MI),345781.05 to 356692.0
Research Scientist (SE),345781.05 to 356692.0
Software Engineer (EN),345781.05 to 356692.0
Lead Engineer (SE),345781.05 to 356692.0
Backend Engineer (SE),345781.05 to 356692.0
Software Development Engineer (SE),345781.05 to 356692.0
Software Engineer (MI),345781.05 to 356692.0
Head of Data (EX),345781.05 to 356692.0
Engineer (MI),345781.05 to 356692.0
Data Engineer (MI),345781.05 to 356692.0
Research Scientist (MI),345781.05 to 356692.0
Enterprise Account Executive (EX),345781.05 to 356692.0
Data Architect (SE),345781.05 to 356692.0
Data Engineer (EX),345781.05 to 356692.0
Data Scientist (MI),345781.05 to 356692.0
Data Scientist (EX),345781.05 to 356692.0
AI Engineer (SE),345781.05 to 356692.0
Data Analytics Lead (SE),345781.05 to 356692.0
Computer Vision Engineer (SE),345781.05 to 356692.0
Engineering Manager (MI),345781.05 to 356692.0
Machine Learning Engineer (EX),345781.05 to 356692.0
Engineer (EX),345781.05 to 356692.0
Account Executive (EX),345781.05 to 356692.0
AI Researcher (EN),345781.05 to 356692.0
Research Analyst (SE),345781.05 to 356692.0
Research Engineer (EN),345781.05 to 356692.0
Manager (EX),345781.05 to 356692.0
Data Lead (SE),345781.05 to 356692.0
Member of Technical Staff (SE),345781.05 to 356692.0
Product Manager (MI),345781.05 to 356692.0
Associate (MI),345781.05 to 356692.0
AI Engineer (MI),345781.05 to 356692.0
Quantitative Developer (MI),345781.05 to 356692.0
Director of Machine Learning (SE),345781.05 to 356692.0
Director of Machine Learning (EX),345781.05 to 356692.0
Machine Learning Manager (SE),345781.05 to 356692.0
Software Architect (SE),345781.05 to 356692.0
Technical Lead (SE),345781.05 to 356692.0
Data Architect (SE),335203.86 to 345781.05
Machine Learning Engineer (SE),335203.86 to 345781.05
Analytics Engineer (SE),335203.86 to 345781.05
Manager (MI),335203.86 to 345781.05
Solutions Architect (SE),335203.86 to 345781.05
Applied Scientist (SE),335203.86 to 345781.05
Research Scientist (MI),335203.86 to 345781.05
Research Engineer (SE),335203.86 to 345781.05
Member of Technical Staff (SE),335203.86 to 345781.05
Solutions Engineer (SE),335203.86 to 345781.05
Research Scientist (SE),335203.86 to 345781.05
Machine Learning Performance Engineer (SE),335203.86 to 345781.05
Manager (SE),335203.86 to 345781.05
Systems Engineer (SE),335203.86 to 345781.05
