job_xp,salary
Business Intelligence Engineer (MI),116566.83 to 120245.04
Site Reliability Engineer (MI),116566.83 to 120245.04
Data Analyst (MI),116566.83 to 120245.04
Data Modeler (MI),116566.83 to 120245.04
Site Reliability Engineer (SE),116566.83 to 120245.04
Data Operations Engineer (MI),116566.83 to 120245.04
Business Intelligence (SE),116566.83 to 120245.04
Platform Engineer (SE),116566.83 to 120245.04
Data Governance Analyst (EX),116566.83 to 120245.04
Cloud Database Administrator (MI),116566.83 to 120245.04
Machine Learning Engineer (MI),116566.83 to 120245.04
Business Intelligence Engineer (EX),116566.83 to 120245.04
Consultant (SE),116566.83 to 120245.04
Data Product Manager (MI),116566.83 to 120245.04
Data Specialist (MI),116566.83 to 120245.04
Python Developer (MI),116566.83 to 120245.04
Business Intelligence Developer (SE),116566.83 to 120245.04
Product Owner (EX),116566.83 to 120245.04
Quantitative Analyst (SE),116566.83 to 120245.04
Python Developer (SE),116566.83 to 120245.04
Bear Robotics (MI),116566.83 to 120245.04
Sales Development Representative (MI),116566.83 to 120245.04
Systems Engineer (SE),116566.83 to 120245.04
Data Visualization Developer (MI),116566.83 to 120245.04
Data Integrity Specialist (MI),116566.83 to 120245.04
Architect (SE),116566.83 to 120245.04
Data Management Specialist (MI),116566.83 to 120245.04
AI Specialist (MI),116566.83 to 120245.04
Technical Lead (SE),116566.83 to 120245.04
Data Analytics Manager (MI),116566.83 to 120245.04
ETL Developer (EN),116566.83 to 120245.04
Quantitative Researcher (SE),116566.83 to 120245.04
AI Programmer (SE),116566.83 to 120245.04
Manager (MI),116566.83 to 120245.04
Data Modeler (SE),116566.83 to 120245.04
Software Engineer (EN),116566.83 to 120245.04
Machine Learning Engineer (EX),116566.83 to 120245.04
Research Scientist (EN),116566.83 to 120245.04
Research Analyst (EN),116566.83 to 120245.04
Robotics Engineer (MI),116566.83 to 120245.04
Consultant (EX),116566.83 to 120245.04
Research Engineer (SE),116566.83 to 120245.04
Research Analyst (MI),116566.83 to 120245.04
Data Reporter (MI),116566.83 to 120245.04
Data Developer (MI),116566.83 to 120245.04
Data Architect (SE),116566.83 to 120245.04
Business Intelligence (MI),116566.83 to 120245.04
Machine Learning Engineer (EN),116566.83 to 120245.04
Data Scientist (EX),116566.83 to 120245.04
Analyst (SE),116566.83 to 120245.04
ML Infrastructure Engineer (MI),116566.83 to 120245.04
Data Integration Specialist (MI),116566.83 to 120245.04
MLOps Engineer (SE),116566.83 to 120245.04
BI Analyst (EN),116566.83 to 120245.04
Engineer (EX),116566.83 to 120245.04
Actuarial Analyst (EN),116566.83 to 120245.04
Data Management Analyst (EN),116566.83 to 120245.04
Data Governance Specialist (EX),116566.83 to 120245.04
AI Developer (MI),116566.83 to 120245.04
Solution Architect (SE),116566.83 to 120245.04
Data Architect (MI),116566.83 to 120245.04
Business Intelligence (EX),116566.83 to 120245.04
Product Analyst (EN),116566.83 to 120245.04
Associate (SE),116566.83 to 120245.04
Account Executive (EX),116566.83 to 120245.04
Backend Engineer (SE),116566.83 to 120245.04
AI Developer (EN),116566.83 to 120245.04
Data Engineer (MI),116566.83 to 120245.04
Research Engineer (MI),116566.83 to 120245.04
Product Manager (MI),116566.83 to 120245.04
Data Product Manager (SE),116566.83 to 120245.04
Data Engineer (EN),116566.83 to 120245.04
Associate (EN),116566.83 to 120245.04
Data Manager (SE),116566.83 to 120245.04
AI Solution Architect (SE),116566.83 to 120245.04
BI Developer (SE),116566.83 to 120245.04
Developer (MI),116566.83 to 120245.04
Fullstack Engineer (SE),116566.83 to 120245.04
Data Operations Lead (SE),116566.83 to 120245.04
Full Stack Developer (SE),116566.83 to 120245.04
AI Product Manager (SE),116566.83 to 120245.04
Business Intelligence Manager (MI),116566.83 to 120245.04
Machine Learning Researcher (MI),116566.83 to 120245.04
Data Reporting Analyst (SE),116566.83 to 120245.04
Developer (SE),116566.83 to 120245.04
Prompt Engineer (SE),116566.83 to 120245.04
AI Engineer (EX),116566.83 to 120245.04
BI Engineer (EN),116566.83 to 120245.04
MLOps Engineer (MI),116566.83 to 120245.04
Business Intelligence Developer (MI),116566.83 to 120245.04
Data Engineer (EX),116566.83 to 120245.04
Insight Analyst (EN),116566.83 to 120245.04
Product Owner (SE),116566.83 to 120245.04
Solutions Engineer (SE),116566.83 to 120245.04
Analyst (EN),116566.83 to 120245.04
AI Machine Learning Engineer (SE),116566.83 to 120245.04
Data Governance (SE),116566.83 to 120245.04
AI Architect (SE),116566.83 to 120245.04
Business Analyst (SE),116566.83 to 120245.04
Statistical Programmer (SE),116566.83 to 120245.04
Data Integrator (MI),116566.83 to 120245.04
Head of Data (SE),116566.83 to 120245.04
Manager (SE),116566.83 to 120245.04
Full Stack Engineer (SE),116566.83 to 120245.04
Analytics Engineer (EN),116566.83 to 120245.04
Data Governance Manager (MI),116566.83 to 120245.04
Solution Architect (MI),116566.83 to 120245.04
Data Operations Analyst (SE),116566.83 to 120245.04
ETL Developer (MI),116566.83 to 120245.04
Product Analyst (SE),116566.83 to 120245.04
Data Strategist (MI),116566.83 to 120245.04
Data Analytics Manager (SE),116566.83 to 120245.04
Engineering Manager (SE),116566.83 to 120245.04
Platform Engineer (MI),116566.83 to 120245.04
Decision Scientist (SE),116566.83 to 120245.04
Data Operations Associate (MI),116566.83 to 120245.04
Analytics Engineer (MI),116566.83 to 120245.04
Data Product Owner (MI),116566.83 to 120245.04
Bioinformatics Scientist (SE),116566.83 to 120245.04
Java Developer (SE),116566.83 to 120245.04
Data Governance (MI),116566.83 to 120245.04
Cloud Engineer (MI),116566.83 to 120245.04
BI Developer (MI),116566.83 to 120245.04
Associate (MI),116566.83 to 120245.04
Analytics Engineer (EX),116566.83 to 120245.04
Software Developer (SE),116566.83 to 120245.04
BI Analyst (SE),116566.83 to 120245.04
Security Engineer (MI),116566.83 to 120245.04
Machine Learning Developer (MI),116566.83 to 120245.04
Statistician (SE),116566.83 to 120245.04
Data Strategist (SE),116566.83 to 120245.04
DevOps Engineer (SE),116566.83 to 120245.04
DevOps Engineer (MI),116566.83 to 120245.04
Data Specialist (SE),116566.83 to 120245.04
Data Quality Analyst (SE),116566.83 to 120245.04
Analytics Specialist (SE),116566.83 to 120245.04
Data Governance Analyst (SE),116566.83 to 120245.04
Data Lead (SE),116566.83 to 120245.04
Data Quality Analyst (EN),116566.83 to 120245.04
Data Integrity Analyst (EN),116566.83 to 120245.04
Data Analytics Developer (MI),116566.83 to 120245.04
Data Analytics Developer (SE),116566.83 to 120245.04
Software Development Engineer (SE),116566.83 to 120245.04
Security Engineer (SE),116566.83 to 120245.04
Tech Lead (SE),116566.83 to 120245.04
Platform Engineer (EN),116566.83 to 120245.04
Applied Scientist (EN),116566.83 to 120245.04
Business Intelligence (EN),116566.83 to 120245.04
Engineering Manager (MI),116566.83 to 120245.04
Computer Vision Engineer (MI),116566.83 to 120245.04
Computational Biologist (SE),116566.83 to 120245.04
Cloud Database Administrator (SE),116566.83 to 120245.04
Data Management Specialist (SE),116566.83 to 120245.04
Data Quality Engineer (SE),116566.83 to 120245.04
Data Infrastructure Engineer (MI),116566.83 to 120245.04
Data Integration Engineer (SE),116566.83 to 120245.04
Full Stack Developer (EN),116566.83 to 120245.04
Data Governance Lead (SE),116566.83 to 120245.04
AI Researcher (SE),116566.83 to 120245.04
Manager (EX),116566.83 to 120245.04
Data Management Analyst (SE),116566.83 to 120245.04
Research Assistant (SE),116566.83 to 120245.04
Consultant Data Engineer (SE),116566.83 to 120245.04
Statistical Programmer (MI),116566.83 to 120245.04
Consultant (EN),116566.83 to 120245.04
Systems Engineer (EN),116566.83 to 120245.04
Data Governance Specialist (SE),116566.83 to 120245.04
Application Developer (SE),116566.83 to 120245.04
Solutions Architect (MI),116566.83 to 120245.04
Machine Learning Infrastructure Engineer (SE),116566.83 to 120245.04
Research Analyst (SE),116566.83 to 120245.04
Machine Learning Specialist (MI),116566.83 to 120245.04
Analytics Lead (SE),116566.83 to 120245.04
Data Governance (EX),116566.83 to 120245.04
Solutions Engineer (MI),116566.83 to 120245.04
Quantitative Analyst (MI),116566.83 to 120245.04
Postdoctoral Researcher (EN),116566.83 to 120245.04
Data Governance Specialist (MI),116566.83 to 120245.04
Insight Analyst (SE),116566.83 to 120245.04
Research Associate (MI),116566.83 to 120245.04
AI Software Engineer (EN),116566.83 to 120245.04
BI Engineer (SE),116566.83 to 120245.04
Business Intelligence Lead (SE),116566.83 to 120245.04
Full Stack Developer (MI),116566.83 to 120245.04
Business Intelligence Developer (EX),116566.83 to 120245.04
Lead Analyst (SE),116566.83 to 120245.04
Principal Statistical Programmer (SE),116566.83 to 120245.04
Data Operations Engineer (SE),116566.83 to 120245.04
Data Analytics Lead (SE),116566.83 to 120245.04
Data Operations Analyst (EN),116566.83 to 120245.04
Software Development Engineer (EN),116566.83 to 120245.04
Infrastructure Engineer (SE),116566.83 to 120245.04
AI Software Engineer (MI),116566.83 to 120245.04
Product Designer (SE),116566.83 to 120245.04
Member of Technical Staff (SE),116566.83 to 120245.04
QA Engineer (SE),116566.83 to 120245.04
Machine Learning Manager (SE),116566.83 to 120245.04
Data Quality Manager (SE),116566.83 to 120245.04
Machine Learning Scientist (MI),116566.83 to 120245.04
Postdoctoral Fellow (MI),116566.83 to 120245.04
Postdoctoral Researcher (SE),116566.83 to 120245.04
Big Data Developer (MI),116566.83 to 120245.04
Backend Engineer (MI),116566.83 to 120245.04
Cloud Engineer (SE),116566.83 to 120245.04
Software Architect (SE),116566.83 to 120245.04
Backend Software Engineer (MI),116566.83 to 120245.04
Quantitative Analyst (EN),116566.83 to 120245.04
Product Specialist (MI),116566.83 to 120245.04
System Engineer (SE),116566.83 to 120245.04
Lead Data Analysis (SE),116566.83 to 120245.04
Head of Business Intelligence (EX),116566.83 to 120245.04
Business Intelligence Developer (EN),116566.83 to 120245.04
Analytics Engineer (MI),113001.13 to 116566.83
Engineer (SE),113001.13 to 116566.83
Data Engineer (MI),113001.13 to 116566.83
Data Product Owner (SE),113001.13 to 116566.83
Data Engineer (SE),113001.13 to 116566.83
Consultant (SE),113001.13 to 116566.83
Data Scientist (MI),113001.13 to 116566.83
Data Analytics Specialist (EN),113001.13 to 116566.83
Data Analytics Specialist (MI),113001.13 to 116566.83
Machine Learning Engineer (SE),113001.13 to 116566.83
Software Engineer (SE),113001.13 to 116566.83
Data Management Specialist (SE),113001.13 to 116566.83
Machine Learning Engineer (MI),113001.13 to 116566.83
Software Engineer (MI),113001.13 to 116566.83
Analytics Engineer (SE),113001.13 to 116566.83
Data Analyst (SE),113001.13 to 116566.83
Data Analyst (EN),113001.13 to 116566.83
Data Architect (SE),113001.13 to 116566.83
Data Management Analyst (EN),113001.13 to 116566.83
Data Scientist (SE),113001.13 to 116566.83
Platform Engineer (SE),113001.13 to 116566.83
Consultant (MI),113001.13 to 116566.83
Business Intelligence Engineer (SE),113001.13 to 116566.83
Manager (MI),113001.13 to 116566.83
Analyst (EN),113001.13 to 116566.83
Manager (SE),113001.13 to 116566.83
Engineer (MI),113001.13 to 116566.83
Product Manager (MI),113001.13 to 116566.83
Associate (MI),113001.13 to 116566.83
Research Engineer (SE),113001.13 to 116566.83
Data Analytics Manager (MI),113001.13 to 116566.83
Associate (EN),113001.13 to 116566.83
Cloud Database Engineer (SE),113001.13 to 116566.83
Data Engineer (EX),113001.13 to 116566.83
Data Management Specialist (MI),113001.13 to 116566.83
Business Intelligence Analyst (SE),113001.13 to 116566.83
Site Reliability Engineer (SE),113001.13 to 116566.83
Data Governance Manager (MI),113001.13 to 116566.83
Data Governance Analyst (EN),113001.13 to 116566.83
Data Analyst (MI),113001.13 to 116566.83
Software Developer (SE),113001.13 to 116566.83
Analytics Lead (SE),113001.13 to 116566.83
Software Development Engineer (SE),113001.13 to 116566.83
Research Analyst (EN),113001.13 to 116566.83
Developer (MI),113001.13 to 116566.83
Software Engineer (EN),113001.13 to 116566.83
Site Reliability Engineer (MI),113001.13 to 116566.83
AI Software Engineer (SE),113001.13 to 116566.83
Research Scientist (EN),113001.13 to 116566.83
Data Specialist (SE),113001.13 to 116566.83
Machine Learning Engineer (EN),113001.13 to 116566.83
Data Management Associate (MI),113001.13 to 116566.83
Business Analyst (MI),113001.13 to 116566.83
Machine Learning Scientist (MI),113001.13 to 116566.83
Data Scientist (EN),113001.13 to 116566.83
DevOps Engineer (MI),113001.13 to 116566.83
Analyst (SE),113001.13 to 116566.83
Data Product Manager (SE),113001.13 to 116566.83
Data Specialist (MI),113001.13 to 116566.83
Product Manager (SE),113001.13 to 116566.83
Data Management Analyst (SE),113001.13 to 116566.83
Data Analytics Lead (SE),113001.13 to 116566.83
Data Analyst (EX),113001.13 to 116566.83
Research Scientist (SE),113001.13 to 116566.83
Associate (SE),113001.13 to 116566.83
Prompt Engineer (SE),113001.13 to 116566.83
Product Analyst (EN),113001.13 to 116566.83
Business Intelligence Developer (SE),113001.13 to 116566.83
Systems Engineer (SE),113001.13 to 116566.83
Systems Engineer (MI),113001.13 to 116566.83
Business Intelligence (SE),113001.13 to 116566.83
Account Executive (EX),113001.13 to 116566.83
Data Governance (SE),113001.13 to 116566.83
Data Manager (MI),113001.13 to 116566.83
AI Engineer (SE),113001.13 to 116566.83
Software Engineer (EX),113001.13 to 116566.83
Solutions Engineer (SE),113001.13 to 116566.83
Machine Learning Scientist (SE),113001.13 to 116566.83
Engineering Manager (MI),113001.13 to 116566.83
Data Strategist (MI),113001.13 to 116566.83
Business Intelligence Engineer (MI),113001.13 to 116566.83
Product Analyst (SE),113001.13 to 116566.83
Developer Advocate (SE),113001.13 to 116566.83
Developer (SE),113001.13 to 116566.83
Data Visualization Engineer (SE),113001.13 to 116566.83
AI Engineer (MI),113001.13 to 116566.83
Business Analyst (EN),113001.13 to 116566.83
Lead Data Engineer (EX),113001.13 to 116566.83
Business Analyst (SE),113001.13 to 116566.83
Data Engineer (EN),113001.13 to 116566.83
Applied Scientist (SE),113001.13 to 116566.83
Applied Scientist (MI),113001.13 to 116566.83
Application Developer (MI),113001.13 to 116566.83
ETL Developer (MI),113001.13 to 116566.83
AI Developer (MI),113001.13 to 116566.83
Business Intelligence Developer (MI),113001.13 to 116566.83
Lead Data Scientist (MI),113001.13 to 116566.83
Data Strategy Lead (SE),113001.13 to 116566.83
Data Strategy Manager (SE),113001.13 to 116566.83
Business Intelligence Analyst (EN),113001.13 to 116566.83
Data Governance (MI),113001.13 to 116566.83
Data Product Manager (MI),113001.13 to 116566.83
Research Analyst (SE),113001.13 to 116566.83
Data Manager (SE),113001.13 to 116566.83
Data Lead (MI),113001.13 to 116566.83
Power BI Developer (SE),113001.13 to 116566.83
System Engineer (EN),113001.13 to 116566.83
Full Stack Developer (SE),113001.13 to 116566.83
Engineer (EX),113001.13 to 116566.83
Software Developer (MI),113001.13 to 116566.83
Solutions Engineer (MI),113001.13 to 116566.83
Executive (EX),113001.13 to 116566.83
Statistician (MI),113001.13 to 116566.83
Business Intelligence (MI),113001.13 to 116566.83
BI Developer (SE),113001.13 to 116566.83
Data Modeler (MI),113001.13 to 116566.83
Data Operations Specialist (SE),113001.13 to 116566.83
Data Lead (SE),113001.13 to 116566.83
Data Strategist (EX),113001.13 to 116566.83
Data Architect (MI),113001.13 to 116566.83
Architect (SE),113001.13 to 116566.83
Data Integration Engineer (EN),113001.13 to 116566.83
Data Governance Specialist (MI),113001.13 to 116566.83
AI Scientist (MI),113001.13 to 116566.83
BI Analyst (SE),113001.13 to 116566.83
System Engineer (MI),113001.13 to 116566.83
Data Integration Specialist (MI),113001.13 to 116566.83
Robotics Engineer (SE),113001.13 to 116566.83
Security Engineer (MI),113001.13 to 116566.83
Product Owner (MI),113001.13 to 116566.83
Analytics Engineer (EN),113001.13 to 116566.83
Big Data Developer (MI),113001.13 to 116566.83
Lead Machine Learning Engineer (SE),113001.13 to 116566.83
Tableau Developer (MI),113001.13 to 116566.83
Software Development Engineer (MI),113001.13 to 116566.83
Research Scientist (MI),113001.13 to 116566.83
Data Governance Engineer (SE),113001.13 to 116566.83
Data Integration Specialist (EN),113001.13 to 116566.83
Analyst (MI),113001.13 to 116566.83
Postdoctoral Fellow (MI),113001.13 to 116566.83
Business Intelligence Analyst (MI),113001.13 to 116566.83
Machine Learning Researcher (MI),113001.13 to 116566.83
Data Visualization Developer (SE),113001.13 to 116566.83
Head of Data (EX),113001.13 to 116566.83
Lead Engineer (SE),113001.13 to 116566.83
Python Developer (SE),113001.13 to 116566.83
Full Stack Developer (MI),113001.13 to 116566.83
Technical Writer (MI),113001.13 to 116566.83
MLOps Engineer (MI),113001.13 to 116566.83
Data Governance Specialist (SE),113001.13 to 116566.83
Artificial Intelligence Engineer (MI),113001.13 to 116566.83
Data Scientist (EX),113001.13 to 116566.83
Data Integration Specialist (SE),113001.13 to 116566.83
AI Engineer (EN),113001.13 to 116566.83
Data Visualization Analyst (SE),113001.13 to 116566.83
Quantitative Analyst (SE),113001.13 to 116566.83
Business Intelligence Lead (EN),113001.13 to 116566.83
Big Data Engineer (SE),113001.13 to 116566.83
AI Architect (SE),113001.13 to 116566.83
Data Operations Analyst (MI),113001.13 to 116566.83
Power BI (EN),113001.13 to 116566.83
Python Developer (MI),113001.13 to 116566.83
Research Engineer (MI),113001.13 to 116566.83
Machine Learning Architect (SE),113001.13 to 116566.83
Engineer (EN),113001.13 to 116566.83
Power BI Developer (MI),113001.13 to 116566.83
DevOps Engineer (SE),113001.13 to 116566.83
Data Governance Manager (SE),113001.13 to 116566.83
AI Governance Lead (SE),113001.13 to 116566.83
Data Governance Lead (SE),113001.13 to 116566.83
Backend Engineer (MI),113001.13 to 116566.83
Lead Analyst (SE),113001.13 to 116566.83
Analyst (EX),113001.13 to 116566.83
Data Quality Lead (SE),113001.13 to 116566.83
Business Analyst (EX),113001.13 to 116566.83
Full Stack Engineer (EX),113001.13 to 116566.83
Data Developer (SE),113001.13 to 116566.83
Data Management Lead (SE),113001.13 to 116566.83
Research Associate (MI),113001.13 to 116566.83
Data Quality Engineer (SE),113001.13 to 116566.83
Insight Analyst (SE),113001.13 to 116566.83
Data Quality Specialist (MI),113001.13 to 116566.83
Master Data Management (SE),113001.13 to 116566.83
Master Data Management (MI),113001.13 to 116566.83
Business Intelligence Manager (SE),113001.13 to 116566.83
Bioinformatician (SE),113001.13 to 116566.83
Bioinformatics Scientist (SE),113001.13 to 116566.83
Data and Reporting Analyst (SE),113001.13 to 116566.83
Cloud Engineer (SE),113001.13 to 116566.83
Computer Vision Engineer (MI),113001.13 to 116566.83
Research Scientist (MI),109544.51 to 113001.13
Business Intelligence Developer (MI),109544.51 to 113001.13
ETL Developer (SE),109544.51 to 113001.13
Manager (MI),109544.51 to 113001.13
Data Operations Analyst (SE),109544.51 to 113001.13
Analytics Engineer (SE),109544.51 to 113001.13
Data Specialist (EN),109544.51 to 113001.13
Data Analyst (SE),109544.51 to 113001.13
Data Manager (MI),109544.51 to 113001.13
Business Intelligence Manager (MI),109544.51 to 113001.13
Engineer (MI),109544.51 to 113001.13
Data Scientist (MI),109544.51 to 113001.13
Software Engineer (MI),109544.51 to 113001.13
Business Intelligence (MI),109544.51 to 113001.13
Research Analyst (EN),109544.51 to 113001.13
Software Engineer (SE),109544.51 to 113001.13
Data Engineer (EX),109544.51 to 113001.13
Manager (SE),109544.51 to 113001.13
Data Analyst (EN),109544.51 to 113001.13
Associate (SE),109544.51 to 113001.13
Software Engineer (EN),109544.51 to 113001.13
Research Scientist (SE),109544.51 to 113001.13
Site Reliability Engineer (MI),109544.51 to 113001.13
AI Product Manager (MI),109544.51 to 113001.13
Machine Learning Engineer (SE),109544.51 to 113001.13
Data Scientist (SE),109544.51 to 113001.13
Data Manager (SE),109544.51 to 113001.13
Analytics Engineer (MI),109544.51 to 113001.13
Data Architect (SE),109544.51 to 113001.13
Associate (MI),109544.51 to 113001.13
Data Engineer (MI),109544.51 to 113001.13
Data Product Manager (SE),109544.51 to 113001.13
Machine Learning Engineer (MI),109544.51 to 113001.13
Data Engineer (SE),109544.51 to 113001.13
Data Integrator (SE),109544.51 to 113001.13
Data Analyst (MI),109544.51 to 113001.13
Business Intelligence Analyst (SE),109544.51 to 113001.13
Analyst (SE),109544.51 to 113001.13
Analyst (EN),109544.51 to 113001.13
Data Analytics Consultant (MI),109544.51 to 113001.13
Software Developer (SE),109544.51 to 113001.13
Research Analyst (SE),109544.51 to 113001.13
Systems Engineer (MI),109544.51 to 113001.13
QA Engineer (MI),109544.51 to 113001.13
Cloud Database Administrator (MI),109544.51 to 113001.13
AI Engineer (SE),109544.51 to 113001.13
Decision Scientist (MI),109544.51 to 113001.13
QA Engineer (SE),109544.51 to 113001.13
Data Engineer (EN),109544.51 to 113001.13
Engineer (SE),109544.51 to 113001.13
Data Governance Engineer (SE),109544.51 to 113001.13
Engineer (EN),109544.51 to 113001.13
Software Developer (MI),109544.51 to 113001.13
BI Analyst (EN),109544.51 to 113001.13
BI Analyst (SE),109544.51 to 113001.13
Product Manager (SE),109544.51 to 113001.13
Product Manager (MI),109544.51 to 113001.13
Research Engineer (MI),109544.51 to 113001.13
Data Specialist (MI),109544.51 to 113001.13
Postdoctoral Researcher (MI),109544.51 to 113001.13
Solutions Engineer (SE),109544.51 to 113001.13
Business Intelligence Manager (SE),109544.51 to 113001.13
Business Intelligence Lead (SE),109544.51 to 113001.13
Head of Data (EX),109544.51 to 113001.13
Principal Statistical Programmer (SE),109544.51 to 113001.13
Quantitative Researcher (MI),109544.51 to 113001.13
Research Engineer (SE),109544.51 to 113001.13
Architect (SE),109544.51 to 113001.13
Data Quality Engineer (SE),109544.51 to 113001.13
Machine Learning Engineer (EN),109544.51 to 113001.13
Machine Learning Scientist (MI),109544.51 to 113001.13
Data Modeler (SE),109544.51 to 113001.13
Consultant (MI),109544.51 to 113001.13
Platform Engineer (SE),109544.51 to 113001.13
Business Intelligence Analyst (MI),109544.51 to 113001.13
Research Scientist (EN),109544.51 to 113001.13
Site Reliability Engineer (EN),109544.51 to 113001.13
Applied Scientist (EN),109544.51 to 113001.13
Developer (MI),109544.51 to 113001.13
Full Stack Developer (MI),109544.51 to 113001.13
Full Stack Developer (SE),109544.51 to 113001.13
Business Intelligence (SE),109544.51 to 113001.13
Machine Learning Scientist (SE),109544.51 to 113001.13
Data Analytics Manager (SE),109544.51 to 113001.13
Product Analyst (SE),109544.51 to 113001.13
Data Product Manager (MI),109544.51 to 113001.13
BI Developer (SE),109544.51 to 113001.13
BI Developer (MI),109544.51 to 113001.13
Applied Scientist (SE),109544.51 to 113001.13
Software Development Engineer (SE),109544.51 to 113001.13
Power BI Consultant (SE),109544.51 to 113001.13
Business Analyst (EN),109544.51 to 113001.13
Analyst (MI),109544.51 to 113001.13
Data Analytics Lead (SE),109544.51 to 113001.13
Prompt Engineer (SE),109544.51 to 113001.13
Software Development Engineer (MI),109544.51 to 113001.13
Data Modeler (MI),109544.51 to 113001.13
Data Management Analyst (EN),109544.51 to 113001.13
Data Management Specialist (EN),109544.51 to 113001.13
Systems Engineer (SE),109544.51 to 113001.13
DevOps Engineer (MI),109544.51 to 113001.13
Platform Engineer (MI),109544.51 to 113001.13
Cloud Engineer (MI),109544.51 to 113001.13
Consultant (SE),109544.51 to 113001.13
Data Specialist (SE),109544.51 to 113001.13
Artificial Intelligence Engineer (EN),109544.51 to 113001.13
Analytics Engineer (EN),109544.51 to 113001.13
Data Governance Specialist (MI),109544.51 to 113001.13
Stage (SE),109544.51 to 113001.13
Statistical Programmer (SE),109544.51 to 113001.13
AI Developer (MI),109544.51 to 113001.13
Business Intelligence Analyst (EN),109544.51 to 113001.13
Data Governance Manager (MI),109544.51 to 113001.13
AI Specialist (EN),109544.51 to 113001.13
Decision Scientist (SE),109544.51 to 113001.13
Lead Engineer (SE),109544.51 to 113001.13
Data Management Analyst (SE),109544.51 to 113001.13
Computational Biologist (SE),109544.51 to 113001.13
Product Designer (SE),109544.51 to 113001.13
Data Management Lead (SE),109544.51 to 113001.13
Business Intelligence Engineer (MI),109544.51 to 113001.13
Data Scientist (EN),109544.51 to 113001.13
MLOps Engineer (MI),109544.51 to 113001.13
Data Lead (SE),109544.51 to 113001.13
Solutions Architect (SE),109544.51 to 113001.13
Solutions Engineer (MI),109544.51 to 113001.13
Bioinformatics Scientist (MI),109544.51 to 113001.13
DevOps Engineer (SE),109544.51 to 113001.13
Data Lead (MI),109544.51 to 113001.13
Manager (EN),109544.51 to 113001.13
Technical Lead (SE),109544.51 to 113001.13
Software Developer (EN),109544.51 to 113001.13
AI Scientist (SE),109544.51 to 113001.13
Computer Vision Engineer (MI),109544.51 to 113001.13
Data Governance Analyst (EN),109544.51 to 113001.13
Data Analytics Developer (MI),109544.51 to 113001.13
Business Intelligence Developer (SE),109544.51 to 113001.13
Solution Architect (SE),109544.51 to 113001.13
Backend Engineer (SE),109544.51 to 113001.13
Data Operations Analyst (EN),109544.51 to 113001.13
Systems Engineer (EN),109544.51 to 113001.13
Bioinformatician (SE),109544.51 to 113001.13
Data Quality Manager (SE),109544.51 to 113001.13
Business Analyst (SE),109544.51 to 113001.13
Product Manager (EN),109544.51 to 113001.13
Research Assistant (EN),109544.51 to 113001.13
Developer (EN),109544.51 to 113001.13
Developer (SE),109544.51 to 113001.13
Business Intelligence Engineer (SE),109544.51 to 113001.13
Data Manager (EX),109544.51 to 113001.13
Data Strategist (SE),109544.51 to 113001.13
AI Architect (SE),109544.51 to 113001.13
Data Quality Analyst (EN),109544.51 to 113001.13
Research Associate (MI),109544.51 to 113001.13
Applied Data Scientist (EN),109544.51 to 113001.13
Research Assistant (MI),109544.51 to 113001.13
Data Quality Analyst (SE),109544.51 to 113001.13
Python Developer (SE),109544.51 to 113001.13
Data Developer (MI),109544.51 to 113001.13
BI Analyst (MI),109544.51 to 113001.13
Associate (EN),109544.51 to 113001.13
Data Integration Engineer (EX),109544.51 to 113001.13
Postdoctoral Fellow (MI),109544.51 to 113001.13
AI Lead (SE),109544.51 to 113001.13
Power BI (SE),109544.51 to 113001.13
Machine Learning Researcher (SE),109544.51 to 113001.13
AI Product Owner (SE),109544.51 to 113001.13
Data Operations Lead (SE),109544.51 to 113001.13
Data Integration Engineer (MI),109544.51 to 113001.13
Manager (EX),109544.51 to 113001.13
Data Governance Manager (EX),109544.51 to 113001.13
BI Engineer (MI),109544.51 to 113001.13
AI Engineer (MI),109544.51 to 113001.13
Data Analytics Engineer (MI),109544.51 to 113001.13
Developer (EX),109544.51 to 113001.13
AI Specialist (EX),109544.51 to 113001.13
Data Governance (EX),109544.51 to 113001.13
Cloud Engineer (SE),109544.51 to 113001.13
Data Developer (SE),109544.51 to 113001.13
Product Analyst (EN),109544.51 to 113001.13
AI Specialist (SE),109544.51 to 113001.13
Data Management Specialist (SE),109544.51 to 113001.13
ETL Developer (MI),109544.51 to 113001.13
Data Product Owner (SE),109544.51 to 113001.13
Data Analyst (EX),109544.51 to 113001.13
Data Team Lead (SE),109544.51 to 113001.13
Python Developer (MI),109544.51 to 113001.13
Data Governance (SE),109544.51 to 113001.13
MLOps Engineer (SE),109544.51 to 113001.13
Product Designer (MI),109544.51 to 113001.13
AI Scientist (MI),109544.51 to 113001.13
Data Operations Manager (MI),109544.51 to 113001.13
Data Architect (MI),109544.51 to 113001.13
Business Intelligence (EX),109544.51 to 113001.13
Consultant (EN),109544.51 to 113001.13
AI Product Owner (MI),109544.51 to 113001.13
Data Governance Analyst (MI),109544.51 to 113001.13
Product Owner (SE),109544.51 to 113001.13
Data Visualization Analyst (SE),109544.51 to 113001.13
Full Stack Engineer (MI),109544.51 to 113001.13
Marketing Analyst (SE),109544.51 to 113001.13
Data Visualization Specialist (MI),109544.51 to 113001.13
Data Platform Engineer (SE),109544.51 to 113001.13
Solutions Architect (MI),109544.51 to 113001.13
