job_title,salary_in_USD
Data Integration Engineer,151000
Data Scientist,69620
Data Scientist,50632
Data Scientist,194588
Data Scientist,84009
Director of Machine Learning,250000
Director of Machine Learning,220000
Statistician,208000
Statistician,129000
Engineer,120000
Engineer,80000
Analyst,56962
Analyst,50632
Product Manager,300000
Product Manager,144400
Data Reporting Analyst,141000
Data Reporting Analyst,86000
Data Manager,161884
Data Manager,104274
Data Manager,130000
Data Manager,110500
Data Manager,96000
Data Manager,81600
Data Manager,135000
Data Manager,95000
Statistical Programmer,150000
Statistical Programmer,110000
Data Scientist,167300
Data Scientist,101500
Data Analyst,18556
Data Analyst,60000
Data Analyst,51000
Data Analyst,96000
Data Analyst,52000
Data Analyst,102092
Data Analyst,75624
Data Analyst,102000
Data Analyst,87000
Machine Learning Engineer,251000
Machine Learning Engineer,167400
Research Assistant,60000
Research Assistant,34000
Engineer,278300
Engineer,139100
